Unnamed: 0,Molecule ChEMBL ID,Molecular Weight,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Emax Value,Label,Index
0,CHEMBL1077168,405.49,COc1cccc(OCCNCC2COC(c3ccccc3)(c3ccccc3)O2)c1,Emax,'=',14.0,%,14.0,0,0
1,CHEMBL1078772,451.57,c1ccc(-c2ccccc2OCCNCC2COC(c3ccccc3)(c3ccccc3)O2)cc1,Emax,'=',73.0,%,73.0,1,1
2,CHEMBL1078773,433.55,CC(C)Oc1ccccc1OCCNCC1COC(c2ccccc2)(c2ccccc2)O1,Emax,'=',25.0,%,25.0,0,2
3,CHEMBL1078953,419.52,CCOc1ccccc1OCCNCC1COC(c2ccccc2)(c2ccccc2)O1,Emax,'=',36.0,%,36.0,0,3
4,CHEMBL1082862,405.49,COc1ccccc1OCCNCC1COC(c2ccccc2)(c2ccccc2)O1,Emax,'=',32.0,%,32.0,0,4
5,CHEMBL1083181,375.47,c1ccc(OCCNCC2COC(c3ccccc3)(c3ccccc3)O2)cc1,Emax,'=',24.0,%,24.0,0,5
6,CHEMBL1083182,421.56,COc1ccccc1OCCNCC1CSC(c2ccccc2)(c2ccccc2)O1,Emax,'=',76.0,%,76.0,1,6
7,CHEMBL1086156,437.63,COc1ccccc1OCCNCC1CSC(c2ccccc2)(c2ccccc2)S1,Emax,'=',20.0,%,20.0,0,7
8,CHEMBL1088072,403.52,COc1ccccc1CCCNCC1COC(c2ccccc2)(c2ccccc2)O1,Emax,'=',14.0,%,14.0,0,8
9,CHEMBL1241557,533.67,COc1ccccc1N1CCN(C[C@@H]2CO[C@@](CN3C(=O)CC4(CCCC4)CC3=O)(c3ccccc3)O2)CC1,Emax,'=',60.0,%,60.0,1,9
10,CHEMBL1242352,430.55,COc1ccccc1N1CCN(CC2OCC(c3ccccc3)(c3ccccc3)O2)CC1,Emax,'=',16.0,%,16.0,0,10
11,CHEMBL1242445,451.57,COc1ccccc1N1CCN(C[C@@H]2CO[C@](CN3CCCC3=O)(c3ccccc3)O2)CC1,Emax,'=',34.0,%,34.0,0,11
