Unnamed: 0,Molecule ChEMBL ID,Molecular Weight,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Emax Value,Label,Index
0,CHEMBL124345,332.39,N#Cc1c(N)nc(SCc2ncc[nH]2)c(C#N)c1-c1ccccc1,Emax,'=',66.0,%,66.0,1,0
1,CHEMBL1950653,660.73,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)N[C@@H](Cc5ccccc5)C(=O)OC)cc4)nc32)[C@H](O)[C@@H]1O,Emax,'=',110.9,%,110.9,1,1
2,CHEMBL1950654,660.73,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)N[C@H](Cc5ccccc5)C(=O)OC)cc4)nc32)[C@H](O)[C@@H]1O,Emax,'=',92.6,%,92.6,1,2
3,CHEMBL1950655,699.77,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)N[C@@H](Cc5c[nH]c6ccccc56)C(=O)OC)cc4)nc32)[C@H](O)[C@@H]1O,Emax,'=',104.5,%,104.5,1,3
4,CHEMBL1950656,699.77,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)N[C@H](Cc5c[nH]c6ccccc56)C(=O)OC)cc4)nc32)[C@H](O)[C@@H]1O,Emax,'=',118.6,%,118.6,1,4
5,CHEMBL1950657,614.62,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)N[C@@H](CC(=O)O)C(=O)O)cc4)nc32)[C@H](O)[C@@H]1O,Emax,'=',94.8,%,94.8,1,5
6,CHEMBL1950658,614.62,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)N[C@H](CC(=O)O)C(=O)O)cc4)nc32)[C@H](O)[C@@H]1O,Emax,'=',94.3,%,94.3,1,6
7,CHEMBL1950659,655.72,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)N[C@@H](CCCNC(=N)N)C(=O)O)cc4)nc32)[C@H](O)[C@@H]1O,Emax,'=',94.5,%,94.5,1,7
8,CHEMBL1950660,655.72,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)N[C@H](CCCNC(=N)N)C(=O)O)cc4)nc32)[C@H](O)[C@@H]1O,Emax,'=',94.7,%,94.7,1,8
9,CHEMBL1950661,646.71,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)N[C@@H](Cc5ccccc5)C(=O)O)cc4)nc32)[C@H](O)[C@@H]1O,Emax,'=',103.3,%,103.3,1,9
